GHG emissions (excl. LULUCF),MtCO2eq GWP AR6,NDCs as of 18th November 2021,,,,,
Saint Vincent and the Grenadines,0.2,0.3,0.4,0.4,0.4,0.4,0.4
Samoa,0.3,0.4,0.6,0.7,0.6,0.8,0.3
San Marino,0.2,0.3,0.2,0.2,0.2,0.2,0.2
Sao Tome and Principe,0.1,0.2,0.2,0.2,0.2,0.2,0.2
Saudi Arabia,183.7,531.6,708.7,821.4,558.3,920.6,433.7
Senegal,13.9,22.3,27.6,36.5,29.3,41.4,31.4
Serbia,78,78.7,89.6,79.1,79.1,70.3,70.3
Seychelles,0.2,0.5,0.5,0.6,0.5,0.6,0.6
Sierra Leone,4.5,5.9,7.6,5.9,5.9,13.7,13.7
Singapore,20.6,46.4,51.1,50.5,50.5,50,50
Slovakia,74,45.8,40.4,34.7,34.7,30.1,30.1
Slovenia,18.9,19.9,17.3,15.8,15.8,14.5,14.5
Solomon Islands,0.3,0.5,0.7,0.8,0.5,0.7,0.2
Somalia,26.5,29.2,30.3,47.7,47.7,76.1,75.2
South Africa,352.3,536.7,533.2,613,418.4,714.5,370.9
South Sudan,23.3,31.5,31.7,41.8,41.8,52.5,52.5
Spain,294.1,365.6,317,287.3,287.3,262.6,262.6
Sri Lanka,17.3,28.1,40.2,46.5,43,51.8,45.4
Sudan,51.1,103.1,119.8,142.2,134.1,165.2,150.3
Suriname,3.2,3.7,4.4,6,6,7.2,7.2
Eswatini,4.7,4.6,4.4,6.3,6,7.9,7.3
Sweden,72.1,65.3,51.4,49.2,49.2,47.3,47.3
Switzerland,53.9,55.3,46.7,35,35,27,27
Syrian Arab Republic,41.8,88,50.1,67.4,67.4,83.8,83.8
Tajikistan,18.3,11,15.5,21.2,18,27.2,20.1
Thailand,219.6,382.2,410,431.7,416.4,449.8,421.7
North Macedonia,19.8,13.1,13,9.2,9.2,6.1,6.1
Timor-Leste,0.7,4.1,5.9,1.9,1.9,- 1.5,- 1.5
Togo,6.4,10.5,13,14.1,9,15.2,5.8
Tonga,0.3,0.2,0.3,0.3,0.3,0.2,0.2
Trinidad and Tobago,24.1,82.9,70.6,75,75,78.8,78.8
Tunisia,22.4,42.1,39.8,52.4,38.8,63.4,38
Turkey,227.4,408,517,614.7,614.7,736.2,736.2
Turkmenistan,83.4,98.9,141.6,139,130.4,137,121.2
Tuvalu,0,0,0,0,0,0,0
Uganda,18.4,39.7,50,71.2,70.6,97.6,80.2
Ukraine,957,413.6,336.4,337.2,337.2,337.8,337.8
