,SSP126_AR6GWP_KyotoGHG,SSP126_AR6GWP_CO2LULUCF,SSP126_AR6GWP_IPCM0EL,SSP119_AR6GWP_KyotoGHG,SSP119_AR6GWP_CO2LULUCF,SSP119_AR6GWP_IPCM0EL,SSP245_AR6GWP_KyotoGHG,SSP245_AR6GWP_CO2LULUCF,SSP245_AR6GWP_IPCM0EL,SSP126_CH4,SSP119_CH4,SSP245_CH4
1776,1149.127861,477.8389213,671.28894,1149.127861,477.8389213,671.28894,1149.127861,477.8389213,671.28894,22.14194213,22.14194213,22.14194213
1777,1170.551389,486.6297812,683.9216077,1170.551389,486.6297812,683.9216077,1170.551389,486.6297812,683.9216077,22.56871006,22.56871006,22.56871006
1778,1188.261101,495.5823676,692.678733,1188.261101,495.5823676,692.678733,1188.261101,495.5823676,692.678733,22.85608093,22.85608093,22.85608093
1779,1197.142838,504.6996558,692.4431821,1197.142838,504.6996558,692.4431821,1197.142838,504.6996558,692.4431821,22.82063569,22.82063569,22.82063569
1780,1219.071394,513.9846758,705.0867184,1219.071394,513.9846758,705.0867184,1219.071394,513.9846758,705.0867184,23.24616665,23.24616665,23.24616665
1781,1231.206241,523.4405135,707.7657273,1231.206241,523.4405135,707.7657273,1231.206241,523.4405135,707.7657273,23.24965548,23.24965548,23.24965548
1782,1244.202372,533.0703113,711.1320604,1244.202372,533.0703113,711.1320604,1244.202372,533.0703113,711.1320604,23.34175812,23.34175812,23.34175812
1783,1255.889295,542.8772697,713.0120257,1255.889295,542.8772697,713.0120257,1255.889295,542.8772697,713.0120257,23.37991679,23.37991679,23.37991679
1784,1264.307675,552.8646479,711.4430267,1264.307675,552.8646479,711.4430267,1264.307675,552.8646479,711.4430267,23.2940423,23.2940423,23.2940423
1785,1289.503871,563.035765,726.468106,1289.503871,563.035765,726.468106,1289.503871,563.035765,726.468106,23.80210554,23.80210554,23.80210554
1786,1303.852891,573.3940015,730.4588894,1303.852891,573.3940015,730.4588894,1303.852891,573.3940015,730.4588894,23.831995,23.831995,23.831995
1787,1324.892279,583.9427996,740.9494795,1324.892279,583.9427996,740.9494795,1324.892279,583.9427996,740.9494795,24.17652818,24.17652818,24.17652818
