conditionality,model,region,scenario,unit,variable,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00,2020-01-01 00:00:00,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,2026-01-01 00:00:00,2027-01-01 00:00:00,2028-01-01 00:00:00,2029-01-01 00:00:00,2030-01-01 00:00:00,2031-01-01 00:00:00,2032-01-01 00:00:00,2033-01-01 00:00:00,2034-01-01 00:00:00,2035-01-01 00:00:00,2036-01-01 00:00:00,2037-01-01 00:00:00,2038-01-01 00:00:00,2039-01-01 00:00:00,2040-01-01 00:00:00,2041-01-01 00:00:00,2042-01-01 00:00:00,2043-01-01 00:00:00,2044-01-01 00:00:00,2045-01-01 00:00:00,2046-01-01 00:00:00,2047-01-01 00:00:00,2048-01-01 00:00:00,2049-01-01 00:00:00,2050-01-01 00:00:00
U,NDC Factsheets,World,unspecified,N/A,World | Low NDC | CO2 FOLU - adjusted,4298.0,4125.0,4395.0,5149.0,5410.0,4628.0,4195.0,4000.0,3978.0,2958.0,2993.0,2988.0,3032.0,3246.0,3166.0,3339.0,3768.0,3705.0,3642.0,3579.0,3517.0,3401.0,3305.0,3209.0,3113.0,3016.0,2921.0,2825.0,2729.0,2634.0,2538.0,2047.0,1799.0,1552.0,1304.0,1057.0,810.0,562.0,315.0,68.00000000000003,-180.00000000000003,-337.0,-495.0,-652.0,-809.0,-967.0,-1124.0,-1281.0,-1439.0,-1596.0,-1753.0
U,NDC Factsheets,World,unspecified,N/A,World | High NDC | CO2 FOLU - adjusted,4298.0,4125.0,4395.0,5149.0,5410.0,4628.0,4195.0,4000.0,3978.0,2958.0,2993.0,2988.0,3032.0,3246.0,3166.0,3339.0,3768.0,3705.0,3642.0,3579.0,3517.0,3401.0,3305.0,3209.0,3113.0,3016.0,2921.0,2825.0,2729.0,2634.0,2538.0,2047.0,1799.0,1552.0,1304.0,1057.0,810.0,562.0,315.0,68.00000000000003,-180.00000000000003,-337.0,-495.0,-652.0,-809.0,-967.0,-1124.0,-1281.0,-1439.0,-1596.0,-1753.0
U,NDC Factsheets,World,unspecified,N/A,World | Low NDC | CO2 incl. LULUCF | Not Harmonised,29960.0,29964.0,30831.0,32885.0,34420.0,34635.0,35215.0,35961.0,36569.0,35035.0,36734.0,37756.0,38270.0,38780.0,39183.0,39449.0,39922.0,40366.0,40916.0,41092.0,41317.0,41531.0,41768.0,42008.0,42251.0,42497.0,42556.0,42616.0,42679.0,42745.0,42813.0,41734.0,40891.0,40047.0,39203.0,38357.0,37511.0,36664.0,35816.0,34967.0,34117.0,33357.0,32595.0,31833.0,31071.0,30307.0,29543.0,28778.0,28012.0,27246.0,26479.0
U,NDC Factsheets,World,unspecified,N/A,World | High NDC | CO2 incl. LULUCF | Not Harmonised,29960.0,29964.0,30831.0,32885.0,34420.0,34635.0,35215.0,35961.0,36569.0,35035.0,36734.0,37756.0,38270.0,38780.0,39183.0,39449.0,39922.0,40366.0,40916.0,41092.0,41230.0,41356.0,41505.0,41657.0,41812.0,41969.0,41968.0,41969.0,41972.0,41978.0,41985.0,40768.0,39786.0,38804.0,37821.0,36837.0,35852.0,34867.0,33880.0,32893.0,31905.0,31006.0,30106.0,29205.0,28304.0,27402.0,26500.0,25596.0,24692.0,23787.0,22882.0
U,NDC Factsheets,World,unspecified,N/A,World | Ref Scenario | Total excl. LULUCF,37209.0,37564.0,38479.0,39941.0,41764.0,43078.0,44424.0,45421.0,45819.0,45519.0,47175.0,48343.0,49116.0,50134.0,50675.0,50875.0,50949.0,51024.0,51099.0,51174.0,51248.0,49313.0,47384.0,45454.0,43524.0,41589.0,39659.0,37730.0,35800.0,33865.0,31935.0,30465.0,28994.0,27519.0,26049.0,24578.0,23108.0,21633.0,20163.0,18692.0,17222.0,16504.0,15788.0,15072.0,14356.0,13638.0,12922.0,12206.0,11491.0,10773.0,10057.0
U,NDC Factsheets,World,unspecified,N/A,World | Ref Scenario | CO2 excl. LULUCF,25260.0,25494.0,26010.0,27207.0,28629.0,29658.0,30628.0,31812.0,32002.0,31459.0,32890.0,33918.0,34397.0,35396.0,35616.0,35635.0,35812.0,35989.0,36165.0,36342.0,36518.0,35111.0,33708.0,32305.0,30902.0,29495.0,28091.0,26688.0,25285.0,23878.0,22475.0,21137.0,19800.0,18458.0,17121.0,15783.0,14446.0,13104.0,11767.0,10429.0,9091.0,8468.0,7846.0,7223.0,6601.0,5978.0,5356.0,4733.0,4111.0,3488.0,2865.0
U,NDC Factsheets,World,unspecified,N/A,World | Ref Scenario | CO2 FOLU,4402.0,3524.0,3923.0,3302.0,3804.0,3758.0,4004.0,3541.0,2449.0,2766.0,3243.0,3348.0,3557.0,3366.0,4015.0,3517.0,3449.0,3381.0,3312.0,3244.0,3176.0,2895.0,2615.0,2335.0,2054.0,1774.0,1493.0,1213.0,933.0,652.0,372.0,473.0,574.0,676.0,777.0,878.0,979.0,1080.0,1181.0,1283.0,1384.0,1163.0,944.0,724.0,504.0,284.0,64.0,-155.0,-375.0,-595.0,-815.0
U,NDC Factsheets,World,unspecified,N/A,World | Ref Scenario | Total incl. LULUCF,41611.0,41089.0,42402.0,43243.0,45569.0,46836.0,48428.0,48961.0,48268.0,48286.0,50418.0,51691.0,52673.0,53500.0,54690.0,54392.0,54398.0,54405.0,54411.0,54418.0,54424.0,52208.0,49998.0,47788.0,45579.0,43363.0,41153.0,38943.0,36733.0,34517.0,32307.0,30938.0,29569.0,28195.0,26826.0,25456.0,24087.0,22714.0,21344.0,19975.0,18605.0,17667.0,16731.0,15796.0,14860.0,13922.0,12987.0,12051.0,11115.0,10177.0,9242.0
U,NDC Factsheets,World,unspecified,N/A,World | Ref Scenario | non-CO2 GHG excl. FOLU,11949.0,12070.0,12469.0,12734.0,13135.0,13420.0,13796.0,13609.0,13816.0,14060.0,14284.0,14425.0,14719.0,14738.0,15059.0,15239.0,15138.0,15036.0,14934.0,14832.0,14730.0,14202.0,13676.0,13149.0,12623.0,12095.0,11568.0,11041.0,10515.0,9987.0,9460.0,9327.0,9194.0,9061.0,8928.0,8795.0,8662.0,8529.0,8396.0,8263.0,8130.0,8036.0,7942.0,7848.0,7755.0,7661.0,7567.0,7473.0,7379.0,7285.0,7191.0
U,NDC Factsheets,World,unspecified,N/A,World | Harmonisation Adjustment Total excl. LULUCF,1614.0,1776.0,2038.0,1951.0,2211.0,2315.0,2495.0,2427.0,2075.0,2339.0,2089.0,1915.0,2027.0,2685.0,2570.0,2651.0,2628.0,2080.0,1391.0,1165.0,939.0,712.3808219178082,486.38082191780825,260.38082191780813,34.380821917808134,-192.2383561643835,-418.2383561643835,-644.2383561643835,-870.2383561643837,-1096.8575342465756,-1322.8575342465756,-1548.8575342465756,-1774.8575342465756,-2001.476712328767,-2227.476712328767,-2453.476712328767,-2679.476712328767,-2906.0958904109593,-3132.0958904109593,-3358.0958904109593,-3584.0958904109593,-3810.715068493151,-4036.715068493151,-4262.715068493151,-4488.715068493151,-4715.334246575342,-4941.334246575342,-5167.334246575342,-5393.334246575342,-5619.953424657534,-5845.953424657534
