model,scenario,label,ambition,conditionality,country_extension,exclude_hot_air,methane_pledges,Category,Category_name,Exceedance Probability 1.5C ,Exceedance Probability 2.0C ,Exceedance Probability 2.5C ,Exceedance Probability 3.0C ,p5 peak warming,p37 peak warming,median peak warming,p67 peak warming,p95 peak warming,p5 year of peak warming,p37 year of peak warming,median year of peak warming,p67 year of peak warming,p95 year of peak warming,p5 warming in 2100,p37 warming in 2100,median warming in 2100,p67 warming in 2100,p95 warming in 2100,harmonization,infilling,climate-models,pipeline
NDC Factsheet,2021-11-09_1__low__U__2030__include,h,low,U,2030,include,,C7,C7: Below 4.0°C,1.0,0.983,0.818,0.507,2.196,2.814,3.005,3.261,4.394,2100,2100,2100,2100,2100,2.196,2.814,3.005,3.261,4.394,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__low__U__SSP1BL__exclude,B,low,U,SSP1BL,exclude,,C5,C5: Below 2.5°C,0.935,0.523,0.17,0.05,1.474,1.89,2.032,2.224,2.998,2059,2093,2094,2094,2100,1.429,1.869,2.021,2.22,2.998,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__low__U__SSP1BL__include,,low,U,SSP1BL,include,,C5,C5: Below 2.5°C,0.965,0.63,0.235,0.09,1.553,2.0,2.161,2.357,3.183,2069,2094,2094,2100,2100,1.53,1.992,2.153,2.357,3.183,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__low__U__constant__exclude,,low,U,constant,exclude,,C4,C4: Below 2°C,0.922,0.472,0.137,0.03,1.442,1.84,1.973,2.149,2.886,2049,2070,2082,2093,2100,1.372,1.792,1.939,2.131,2.886,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__low__C__SSP1BL__include,,low,C,SSP1BL,include,,C5,C5: Below 2.5°C,0.928,0.505,0.16,0.045,1.459,1.867,2.007,2.195,2.956,2059,2093,2093,2094,2100,1.409,1.843,1.993,2.189,2.956,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__low__C__constant__exclude,,low,C,constant,exclude,,C4,C4: Below 2°C,0.905,0.437,0.127,0.025,1.416,1.804,1.933,2.103,2.819,2049,2070,2082,2093,2100,1.34,1.751,1.893,2.083,2.819,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__low__U__constant__include,,low,U,constant,include,,C5,C5: Below 2.5°C,0.938,0.523,0.168,0.05,1.479,1.891,2.034,2.222,2.992,2059,2093,2093,2094,2100,1.423,1.863,2.014,2.212,2.992,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__low__U__rate__exclude,,low,U,rate,exclude,,C5,C5: Below 2.5°C,0.968,0.637,0.238,0.092,1.558,2.008,2.169,2.367,3.196,2070,2094,2100,2100,2100,1.538,2.002,2.164,2.366,3.196,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__high__U__SSP1BL__include,,high,U,SSP1BL,include,,C5,C5: Below 2.5°C,0.945,0.532,0.175,0.052,1.485,1.897,2.043,2.234,3.013,2059,2093,2094,2094,2100,1.435,1.877,2.03,2.229,3.013,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__high__U__constant__exclude,,high,U,constant,exclude,,C4,C4: Below 2°C,0.903,0.417,0.122,0.018,1.416,1.787,1.916,2.076,2.78,2049,2069,2070,2082,2100,1.311,1.719,1.862,2.049,2.779,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-03_1__high__C__SSP1BL__exclude__conditionalCH4,n,high,C,SSP1BL,exclude,conditionalCH4,C4,C4: Below 2°C,0.895,0.415,0.123,0.018,1.399,1.787,1.915,2.082,2.791,2049,2070,2082,2093,2100,1.328,1.735,1.876,2.063,2.79,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01)
NDC Factsheet,2021-11-03_1__high__C__SSP1BL__exclude__fullCH4,m,high,C,SSP1BL,exclude,fullCH4,C4,C4: Below 2°C,0.892,0.403,0.123,0.018,1.385,1.771,1.902,2.074,2.778,2049,2070,2082,2093,2100,1.322,1.729,1.868,2.055,2.778,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01)
NDC Factsheet,2021-11-03_1__high__C__SSP1BL__exclude__unconditionalCH4,o,high,C,SSP1BL,exclude,unconditionalCH4,C4,C4: Below 2°C,0.893,0.412,0.123,0.018,1.396,1.784,1.912,2.079,2.787,2049,2070,2082,2093,2100,1.326,1.734,1.874,2.061,2.786,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01)
